QUESTION,REPONSE,DIFFICULTE
Qui a écrit "Les Misérables" ?,Victor Hugo,1
Quel est le prénom du jeune sorcier créé par J.K. Rowling ?,Harry,1
Dans quelle ville se déroule l'histoire de "Roméo et Juliette" ?,Vérone,2
Qui est l'auteur des "Fables" mettant en scène des animaux ?,Jean de La Fontaine,1
Quel célèbre détective a été créé par Arthur Conan Doyle ?,Sherlock Holmes,1
Qui a écrit "Vingt mille lieues sous les mers" ?,Jules Verne,1
Quel est le nom du capitaine dans "Moby Dick" ?,Achab,3
Qui est l'auteur de "L'Étranger" ?,Albert Camus,2
Quel dramaturge anglais a écrit "Hamlet" ?,William Shakespeare,1
Dans quel roman trouve-t-on le personnage de D'Artagnan ?,Les Trois Mousquetaires,1
Qui a écrit "Le Petit Prince" ?,Antoine de Saint-Exupéry,1
Quel auteur a écrit "1984" ?,George Orwell,2
Quel est le nom de l'héroïne de "Notre-Dame de Paris" ?,Esmeralda,2
Qui a écrit "Madame Bovary" ?,Gustave Flaubert,2
Quel prix littéraire français est le plus prestigieux ?,Prix Goncourt,2
Qui est l'auteur de la saga "Le Seigneur des Anneaux" ?,J.R.R. Tolkien,2
Quel poète a écrit le recueil "Les Fleurs du mal" ?,Charles Baudelaire,2
Dans quel pays se déroule l'action de "Guerre et Paix" ?,Russie,3
Qui a écrit "Orgueil et Préjugés" ?,Jane Austen,3
Quel est le vrai nom de Molière ?,Jean-Baptiste Poquelin,3
Qui a écrit la pièce "Cyrano de Bergerac" ?,Edmond Rostand,2
Quel auteur américain a écrit "Shining" et "Ça" ?,Stephen King,1
Quel personnage de fiction vit au 221B Baker Street ?,Sherlock Holmes,2
Qui est l'auteur de "La Peste" ?,Albert Camus,3
Quel célèbre aventurier a été créé par Hergé ?,Tintin,1
Qui a écrit "Germinal" ?,Émile Zola,2
Quel livre sacré commence par la Genèse ?,La Bible,1
Quel auteur a écrit "À la recherche du temps perdu" ?,Marcel Proust,3
Quelle friandise est associée à la mémoire chez Proust ?,Madeleine,2
Qui a écrit "Les Liaisons dangereuses" ?,Choderlos de Laclos,4
Quel écrivain a refusé le prix Nobel de littérature en 1964 ?,Jean-Paul Sartre,4
Qui est l'auteur de "Frankenstein" ?,Mary Shelley,3
Dans quelle saga suit-on les familles Stark et Lannister ?,Game of Thrones (Le Trône de fer),2
Qui a écrit "Le Comte de Monte-Cristo" ?,Alexandre Dumas,2
Quel est le titre du premier tome d'Harry Potter ?,Harry Potter à l'école des sorciers,1
Qui a écrit "Candide" ?,Voltaire,2
Quelle est la nationalité de Franz Kafka ?,Tchèque (ou austro-hongroise),4
Qui est l'auteur de "L'Odyssée" ?,Homère,2
Quel auteur a écrit "Voyage au bout de la nuit" ?,Louis-Ferdinand Céline,4
Dans quel roman trouve-t-on le personnage de Jean Valjean ?,Les Misérables,1
Qui a écrit "Bel-Ami" ?,Guy de Maupassant,3
Quel est le nom du renard dans "Le Petit Prince" ?,Il n'a pas de nom (Le Renard),3
Qui a écrit "Le Rouge et le Noir" ?,Stendhal,3
Quelle célèbre diariste a vécu cachée à Amsterdam ?,Anne Frank,1
Qui est l'auteur de "Crime et Châtiment" ?,Fiodor Dostoïevski,4
Dans quel conte une citrouille se transforme-t-elle en carrosse ?,Cendrillon,1
Qui a écrit "Le Malade imaginaire" ?,Molière,1
Quel auteur a créé le personnage d'Arsène Lupin ?,Maurice Leblanc,3
Quelle est la devise des Trois Mousquetaires ?,Un pour tous tous pour un,1
Qui a écrit "Les Raisins de la colère" ?,John Steinbeck,4
Quel auteur irlandais a écrit "Dracula" ?,Bram Stoker,3
Dans quelle œuvre trouve-t-on "Big Brother" ?,1984,2
Qui a écrit "Cent ans de solitude" ?,Gabriel Garcia Marquez,4
Quel mouvement littéraire est associé à Victor Hugo ?,Romantisme,3
Qui a écrit "L'Alchimiste" ?,Paulo Coelho,2
Quel auteur a écrit "Le Vieil Homme et la Mer" ?,Ernest Hemingway,3
Qui est l'auteur de la série de BD "Astérix" (scénariste original) ?,René Goscinny,3
Quel poète a été le compagnon tumultueux de Rimbaud ?,Paul Verlaine,3
Qui a écrit "La Métamorphose" ?,Franz Kafka,3
Quel est le livre le plus vendu au monde après la Bible ?,Le Petit Rouge (Mao) ou Don Quichotte (selon sources),5
Note pour le quiz master: Don Quichotte est souvent cité comme le roman le plus vendu.,Don Quichotte,5
Qui a écrit "Gatsby le Magnifique" ?,F. Scott Fitzgerald,3
Quel écrivain français a écrit "J'accuse...!" dans le journal L'Aurore ?,Émile Zola,2
Qui a écrit "Les Hauts de Hurlevent" ?,Emily Brontë,4
Quel est le prénom de l'auteur de "Da Vinci Code" ?,Dan,2
Qui a écrit "Le Nom de la rose" ?,Umberto Eco,4
Dans quel roman voyage-t-on à Lilliput ?,Les Voyages de Gulliver,3
Qui est l'auteure d'Agatha Raisin ?,M.C. Beaton,5
Qui a écrit "La Gloire de mon père" ?,Marcel Pagnol,2
Quel monstre de la littérature craint le feu ?,La créature de Frankenstein,4
Qui a écrit "La Ferme des animaux" ?,George Orwell,3
Quel poète a écrit "Le Dormeur du val" ?,Arthur Rimbaud,2
Quel est le nom du compagnon de Sherlock Holmes ?,Docteur Watson,1
Qui a écrit "En attendant Godot" ?,Samuel Beckett,4
Quel est le titre du livre d'Hitler ?,Mein Kampf,2
Qui a écrit "Lolita" ?,Vladimir Nabokov,4
Quel est le nom de l'épée du Roi Arthur ?,Excalibur,1
Qui a écrit "Alice au pays des merveilles" ?,Lewis Carroll,2
Quel auteur français est connu pour ses fables (hors La Fontaine) ?,Jean Anouilh (ou Esope pour l'antique),5
Note pour le quiz master: Question piège souvent Florian ou Anouilh.,Jean-Pierre Claris de Florian,5
Qui est l'auteur de "La Divine Comédie" ?,Dante,4
Quel auteur de SF a écrit le cycle de "Dune" ?,Frank Herbert,3
Qui a écrit "Les Chevaliers de la Table Ronde" (Chrétien de Troyes) ?,Chrétien de Troyes,5
Quel animal est Moby Dick ?,Une baleine (Cachalot blanc),1
Qui a écrit "Le Parfum" ?,Patrick Süskind,4
Quel est le vrai nom de George Sand ?,Aurore Dupin,5
Qui a écrit "Les Fourmis" ?,Bernard Werber,3
Dans quel livre trouve-t-on le personnage de Robinson Crusoé ?,Robinson Crusoé,1
Qui est l'auteur de "L'Attrape-cœurs" ?,J.D. Salinger,4
Quel écrivain a pour pseudonyme "Boz" ?,Charles Dickens,5
Qui a écrit "Les Fleurs bleues" ?,Raymond Queneau,5
Quel est le nom du capitaine du Nautilus ?,Nemo,2
Qui a écrit "La Nuit des temps" ?,René Barjavel,4
Quel auteur a écrit "Au bonheur des dames" ?,Émile Zola,3
Qui a écrit "La Promesse de l'aube" ?,Romain Gary,4
Quel écrivain a remporté deux fois le prix Goncourt (sous un pseudo) ?,Romain Gary (Émile Ajar),5
Qui a écrit "Le Deuxième Sexe" ?,Simone de Beauvoir,3
Quel est le titre original de "L'Étranger" en anglais ?,The Stranger,5
Qui est l'auteur de "Fahrenheit 451" ?,Ray Bradbury,4
Quel poète français a écrit "Liberté" ?,Paul Éluard,3
Qui a écrit "La Guerre des mondes" ?,H.G. Wells,3